ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,duration
45A75B963BC6479C,classic_bike,2023-07-16 22:14:39,2023-07-17 23:14:35,Columbus Park - Clinton St & 9 St,HB501,,,40.74816121065146,-74.0324530005455,,,member,1499.9333333333334
30A51898702BEFBB,classic_bike,2023-07-20 14:48:18,2023-07-21 15:48:13,Bloomfield St & 15 St,HB203,,,40.75453,-74.02658,,,casual,1499.9166666666665
3BDCCC24C8660973,classic_bike,2023-07-30 20:29:14,2023-07-31 21:29:07,Manila & 1st,JC082,,,40.72165072487999,-74.04288411140442,,,member,1499.8833333333334
A343102443EA1082,electric_bike,2023-07-30 17:51:28,2023-07-31 18:51:24,Exchange Pl,JC116,,,40.71636596185077,-74.034343957901,,,member,1499.9333333333334
661D70BA4336E56C,electric_bike,2023-07-19 18:23:56,2023-07-20 19:23:48,City Hall - Washington St & 1 St,HB105,,,40.73736,-74.03097,,,casual,1499.8666666666666
74B963ABE3ED2E88,classic_bike,2023-07-30 22:40:25,2023-07-31 23:40:17,City Hall - Washington St & 1 St,HB105,,,40.73736,-74.03097,,,casual,1499.8666666666666
F9A27C05EB42EAAA,classic_bike,2023-07-17 09:10:01,2023-07-18 10:09:47,Clinton St & 7 St,HB303,,,40.74542,-74.03332,,,member,1499.7666666666667
301219BEED7A13FF,electric_bike,2023-07-15 15:10:40,2023-07-16 16:10:30,Bloomfield St & 15 St,HB203,,,40.75453,-74.02658,,,member,1499.8333333333335
53239D77BA9BFFAF,classic_bike,2023-07-29 00:48:47,2023-07-30 01:48:41,Clinton St & 7 St,HB303,,,40.74542,-74.03332,,,member,1499.9
0730893E5BBAFB1F,classic_bike,2023-07-15 21:39:55,2023-07-16 22:39:42,Bloomfield St & 15 St,HB203,,,40.75453,-74.02658,,,casual,1499.7833333333333
2250A3158DA26C8F,classic_bike,2023-07-30 02:51:37,2023-07-31 03:51:31,Newark Ave,JC032,,,40.72152515,-74.046304543,,,member,1499.9
88E88F514DF21EEE,classic_bike,2023-07-30 16:28:32,2023-07-31 17:28:27,Newark Ave,JC032,,,40.72152515,-74.046304543,,,casual,1499.9166666666665
943212B12C437153,classic_bike,2023-07-16 15:31:49,2023-07-17 16:31:40,Pershing Field,JC024,,,40.742677141,-74.051788633,,,member,1499.85
0E2D639087C5D6B6,electric_bike,2023-07-30 15:00:44,2023-07-31 16:00:32,Pershing Field,JC024,,,40.742677141,-74.051788633,,,casual,1499.8
66C7710545FB5040,classic_bike,2023-07-08 12:15:09,2023-07-09 13:15:03,Pershing Field,JC024,,,40.742677141,-74.051788633,,,casual,1499.9
80C610AB04F7792C,classic_bike,2023-07-08 17:05:40,2023-07-09 18:05:33,Hamilton Park,JC009,,,40.727595966,-74.044247311,,,member,1499.8833333333334
8870DB3258F9823B,classic_bike,2023-07-17 09:37:07,2023-07-18 10:37:03,Hamilton Park,JC009,,,40.727595966,-74.044247311,,,member,1499.9333333333334
06DD7C509BF2D8CA,classic_bike,2023-07-29 21:38:12,2023-07-30 22:38:08,Hamilton Park,JC009,,,40.727595966,-74.044247311,,,member,1499.9333333333334
F4F2526CCDAB7F7C,classic_bike,2023-07-26 08:01:47,2023-07-27 09:01:41,Hamilton Park,JC009,,,40.727595966,-74.044247311,,,member,1499.9
11D0FB8C5E261C62,classic_bike,2023-07-09 19:40:43,2023-07-10 20:40:34,Van Vorst Park,JC035,,,40.71848892,-74.047726625,,,casual,1499.85
